Package	Core	CPU	Bzy_MHz
-	-	-	2600
0	0	0	2600
0	0	64	2600
0	1	4	2600
0	1	68	2600
0	2	8	2600
0	2	72	2600
0	3	12	2600
0	3	76	2600
0	4	16	2600
0	4	80	2600
0	5	20	2600
0	5	84	2600
0	6	24	2600
0	6	88	2600
0	7	28	2600
0	7	92	2600
0	8	32	2600
0	8	96	2600
0	9	36	2600
0	9	100	2600
0	10	40	2600
0	10	104	2600
0	11	44	2600
0	11	108	2600
0	12	48	2600
0	12	112	2600
0	13	52	2600
0	13	116	2600
0	14	56	2600
0	14	120	2600
0	15	60	2600
0	15	124	2600
0	16	2	2600
0	16	66	2600
0	17	6	2600
0	17	70	2600
0	18	10	2600
0	18	74	2600
0	19	14	2600
0	19	78	2600
0	20	18	2600
0	20	82	2600
0	21	22	2600
0	21	86	2600
0	22	26	2600
0	22	90	2600
0	23	30	2600
0	23	94	2600
0	24	34	2600
0	24	98	2600
0	25	38	2600
0	25	102	2600
0	26	42	2600
0	26	106	2600
0	27	46	2600
0	27	110	2600
0	28	50	2600
0	28	114	2600
0	29	54	2600
0	29	118	2600
0	30	58	2600
0	30	122	2600
0	31	62	2600
0	31	126	2600
1	0	1	2600
1	0	65	2600
1	1	5	2600
1	1	69	2600
1	2	9	2600
1	2	73	2600
1	3	13	2600
1	3	77	2599
1	4	17	2600
1	4	81	2599
1	5	21	2600
1	5	85	2600
1	6	25	2600
1	6	89	2599
1	7	29	2600
1	7	93	2599
1	8	33	2600
1	8	97	2599
1	9	37	2600
1	9	101	2599
1	10	41	2600
1	10	105	2599
1	11	45	2600
1	11	109	2600
1	12	49	2600
1	12	113	2600
1	13	53	2600
1	13	117	2599
1	14	57	2600
1	14	121	2600
1	15	61	2600
1	15	125	2600
1	16	3	2600
1	16	67	2600
1	17	7	2600
1	17	71	2600
1	18	11	2600
1	18	75	2599
1	19	15	2600
1	19	79	2599
1	20	19	2600
1	20	83	2600
1	21	23	2600
1	21	87	2599
1	22	27	2600
1	22	91	2600
1	23	31	2600
1	23	95	2600
1	24	35	2600
1	24	99	2599
1	25	39	2600
1	25	103	2599
1	26	43	2600
1	26	107	2600
1	27	47	2600
1	27	111	2600
1	28	51	2600
1	28	115	2599
1	29	55	2600
1	29	119	2599
1	30	59	2600
1	30	123	2600
1	31	63	2600
1	31	127	2600
Package	Core	CPU	Bzy_MHz
-	-	-	2600
0	0	0	2600
0	0	64	2600
0	1	4	2600
0	1	68	2600
0	2	8	2600
0	2	72	2600
0	3	12	2600
0	3	76	2600
0	4	16	2600
0	4	80	2600
0	5	20	2600
0	5	84	2600
0	6	24	2600
0	6	88	2600
0	7	28	2600
0	7	92	2600
0	8	32	2600
0	8	96	2600
0	9	36	2600
0	9	100	2600
0	10	40	2600
0	10	104	2600
0	11	44	2600
0	11	108	2600
0	12	48	2600
0	12	112	2600
0	13	52	2600
0	13	116	2600
0	14	56	2600
0	14	120	2600
0	15	60	2600
0	15	124	2600
0	16	2	2600
0	16	66	2600
0	17	6	2600
0	17	70	2600
0	18	10	2600
0	18	74	2600
0	19	14	2600
0	19	78	2600
0	20	18	2600
0	20	82	2600
0	21	22	2600
0	21	86	2600
0	22	26	2600
0	22	90	2600
0	23	30	2600
0	23	94	2600
0	24	34	2600
0	24	98	2600
0	25	38	2600
0	25	102	2600
0	26	42	2600
0	26	106	2600
0	27	46	2600
0	27	110	2600
0	28	50	2600
0	28	114	2600
0	29	54	2600
0	29	118	2600
0	30	58	2600
0	30	122	2600
0	31	62	2600
0	31	126	2600
1	0	1	2600
1	0	65	2600
1	1	5	2600
1	1	69	2600
1	2	9	2600
1	2	73	2600
1	3	13	2600
1	3	77	2600
1	4	17	2600
1	4	81	2600
1	5	21	2600
1	5	85	2600
1	6	25	2600
1	6	89	2600
1	7	29	2600
1	7	93	2600
1	8	33	2600
1	8	97	2600
1	9	37	2600
1	9	101	2600
1	10	41	2600
1	10	105	2600
1	11	45	2600
1	11	109	2600
1	12	49	2600
1	12	113	2600
1	13	53	2600
1	13	117	2600
1	14	57	2600
1	14	121	2600
1	15	61	2600
1	15	125	2600
1	16	3	2600
1	16	67	2600
1	17	7	2600
1	17	71	2600
1	18	11	2600
1	18	75	2600
1	19	15	2600
1	19	79	2600
1	20	19	2600
1	20	83	2600
1	21	23	2600
1	21	87	2600
1	22	27	2600
1	22	91	2600
1	23	31	2600
1	23	95	2600
1	24	35	2600
1	24	99	2600
1	25	39	2600
1	25	103	2600
1	26	43	2600
1	26	107	2600
1	27	47	2600
1	27	111	2600
1	28	51	2600
1	28	115	2600
1	29	55	2600
1	29	119	2600
1	30	59	2600
1	30	123	2600
1	31	63	2600
1	31	127	2600
Package	Core	CPU	Bzy_MHz
-	-	-	2600
0	0	0	2600
0	0	64	2600
0	1	4	2600
0	1	68	2600
0	2	8	2600
0	2	72	2600
0	3	12	2600
0	3	76	2600
0	4	16	2600
0	4	80	2600
0	5	20	2600
0	5	84	2600
0	6	24	2600
0	6	88	2600
0	7	28	2600
0	7	92	2600
0	8	32	2600
0	8	96	2600
0	9	36	2600
0	9	100	2600
0	10	40	2600
0	10	104	2600
0	11	44	2600
0	11	108	2600
0	12	48	2600
0	12	112	2600
0	13	52	2600
0	13	116	2600
0	14	56	2600
0	14	120	2600
0	15	60	2600
0	15	124	2600
0	16	2	2600
0	16	66	2600
0	17	6	2600
0	17	70	2600
0	18	10	2600
0	18	74	2600
0	19	14	2600
0	19	78	2600
0	20	18	2600
0	20	82	2600
0	21	22	2600
0	21	86	2600
0	22	26	2600
0	22	90	2600
0	23	30	2600
0	23	94	2600
0	24	34	2600
0	24	98	2600
0	25	38	2600
0	25	102	2600
0	26	42	2600
0	26	106	2600
0	27	46	2600
0	27	110	2601
0	28	50	2600
0	28	114	2600
0	29	54	2600
0	29	118	2600
0	30	58	2600
0	30	122	2600
0	31	62	2600
0	31	126	2600
1	0	1	2600
1	0	65	2600
1	1	5	2600
1	1	69	2600
1	2	9	2600
1	2	73	2600
1	3	13	2600
1	3	77	2600
1	4	17	2600
1	4	81	2599
1	5	21	2600
1	5	85	2599
1	6	25	2600
1	6	89	2600
1	7	29	2600
1	7	93	2600
1	8	33	2600
1	8	97	2600
1	9	37	2600
1	9	101	2599
1	10	41	2600
1	10	105	2599
1	11	45	2600
1	11	109	2599
1	12	49	2600
1	12	113	2600
1	13	53	2600
1	13	117	2599
1	14	57	2600
1	14	121	2599
1	15	61	2600
1	15	125	2599
1	16	3	2600
1	16	67	2600
1	17	7	2600
1	17	71	2600
1	18	11	2600
1	18	75	2599
1	19	15	2600
1	19	79	2600
1	20	19	2600
1	20	83	2599
1	21	23	2600
1	21	87	2599
1	22	27	2600
1	22	91	2599
1	23	31	2600
1	23	95	2599
1	24	35	2600
1	24	99	2599
1	25	39	2600
1	25	103	2600
1	26	43	2600
