Package	Core	CPU	Bzy_MHz
-	-	-	2529
0	0	0	2549
0	0	64	2556
0	1	4	2559
0	1	68	2559
0	2	8	2559
0	2	72	2559
0	3	12	2559
0	3	76	2559
0	4	16	2559
0	4	80	2559
0	5	20	2559
0	5	84	2559
0	6	24	2559
0	6	88	2559
0	7	28	2559
0	7	92	2559
0	8	32	2559
0	8	96	2559
0	9	36	2559
0	9	100	2559
0	10	40	2559
0	10	104	2559
0	11	44	2559
0	11	108	2559
0	12	48	2559
0	12	112	2559
0	13	52	2559
0	13	116	2559
0	14	56	2559
0	14	120	2559
0	15	60	2559
0	15	124	2559
0	16	2	2558
0	16	66	2556
0	17	6	2559
0	17	70	2559
0	18	10	2559
0	18	74	2559
0	19	14	2559
0	19	78	2559
0	20	18	2559
0	20	82	2559
0	21	22	2559
0	21	86	2559
0	22	26	2559
0	22	90	2559
0	23	30	2559
0	23	94	2559
0	24	34	2559
0	24	98	2559
0	25	38	2559
0	25	102	2559
0	26	42	2559
0	26	106	2559
0	27	46	2559
0	27	110	2559
0	28	50	2559
0	28	114	2559
0	29	54	2559
0	29	118	2559
0	30	58	2559
0	30	122	2559
0	31	62	2568
0	31	126	2566
1	0	1	2501
1	0	65	2501
1	1	5	2501
1	1	69	2501
1	2	9	2501
1	2	73	2501
1	3	13	2501
1	3	77	2501
1	4	17	2501
1	4	81	2501
1	5	21	2501
1	5	85	2501
1	6	25	2501
1	6	89	2501
1	7	29	2501
1	7	93	2501
1	8	33	2501
1	8	97	2501
1	9	37	2501
1	9	101	2501
1	10	41	2501
1	10	105	2501
1	11	45	2500
1	11	109	2500
1	12	49	2500
1	12	113	2500
1	13	53	2500
1	13	117	2500
1	14	57	2500
1	14	121	2500
1	15	61	2500
1	15	125	2500
1	16	3	2500
1	16	67	2500
1	17	7	2500
1	17	71	2499
1	18	11	2500
1	18	75	2500
1	19	15	2500
1	19	79	2500
1	20	19	2500
1	20	83	2500
1	21	23	2500
1	21	87	2500
1	22	27	2500
1	22	91	2500
1	23	31	2500
1	23	95	2500
